user_id,session_id,last_search_keyword,dominant_category,search_count,product_view_count,detail_view_count,dwell_time_sec,add_wishlist_count,add_to_cart_count,remove_from_cart_count,purchase_count,target_label
U106,S106,stretching routine,wellness,5,8,3,299,0,2,1,0,medium_intent
U107,S107,travel bag,travel-everyday,7,10,3,190,1,2,0,0,medium_intent
U108,S108,portable mirror,beauty-care,4,2,1,145,1,0,0,0,low_intent
U109,S109,office setup,work-tech,4,6,1,145,1,0,1,0,low_intent
U110,S110,diffuser,home-living,5,10,7,487,3,2,0,1,high_intent
U111,S111,bamboo board,kitchen-dining,9,9,7,461,2,2,0,2,high_intent
U112,S112,daily wellness,wellness,5,10,3,320,1,2,1,0,medium_intent
U113,S113,daily carry,travel-everyday,5,5,3,248,2,2,0,0,medium_intent
U114,S114,gentle skincare,beauty-care,4,5,2,135,1,0,1,0,low_intent
U115,S115,office setup,work-tech,6,15,5,525,1,4,1,2,high_intent
U116,S116,calm home,home-living,6,5,3,197,1,1,1,0,medium_intent
U117,S117,coffee press,kitchen-dining,6,11,5,283,1,1,0,0,medium_intent
U118,S118,hydration bottle,wellness,4,4,2,137,0,0,1,0,low_intent
U119,S119,tote bag,travel-everyday,3,6,2,92,0,0,0,0,low_intent
U120,S120,gentle skincare,beauty-care,9,10,8,315,2,4,1,1,high_intent
U121,S121,portable workstation,work-tech,8,12,5,301,1,3,0,2,high_intent
U122,S122,diffuser,home-living,3,8,3,278,2,1,1,0,medium_intent
U123,S123,kitchen prep,kitchen-dining,5,11,4,321,1,2,1,0,medium_intent
U124,S124,daily wellness,wellness,4,7,2,108,0,0,0,0,low_intent
U125,S125,commuter bag,travel-everyday,9,13,8,476,2,4,0,2,high_intent
U126,S126,starter skincare,beauty-care,6,5,4,305,1,2,1,0,medium_intent
U127,S127,laptop,work-tech,7,6,4,249,2,1,1,0,medium_intent
U128,S128,throw blanket,home-living,4,5,2,146,0,0,0,0,low_intent
U129,S129,cutting board,kitchen-dining,4,5,2,149,1,0,1,0,low_intent
U130,S130,water bottle,wellness,6,10,8,462,3,2,0,1,high_intent
U131,S131,overnight bag,travel-everyday,9,14,7,536,2,2,1,1,high_intent
U132,S132,self care set,beauty-care,7,11,5,186,0,1,0,0,medium_intent
U133,S133,portable workstation,work-tech,4,10,5,329,2,2,1,0,medium_intent
U134,S134,calm home,home-living,3,6,2,53,1,0,0,0,low_intent
U135,S135,home cafe,kitchen-dining,9,15,7,366,2,3,1,1,high_intent
U136,S136,stretching routine,wellness,4,9,4,154,0,2,1,0,medium_intent
U137,S137,overnight bag,travel-everyday,7,10,5,258,0,2,0,0,medium_intent
U138,S138,skin care,beauty-care,4,3,2,59,1,0,1,0,low_intent
U139,S139,laptop,work-tech,2,2,1,99,0,0,0,0,low_intent
U140,S140,reading nook,home-living,7,13,8,460,2,4,0,2,high_intent
U141,S141,meal prep,kitchen-dining,8,9,7,460,2,2,1,2,high_intent
U142,S142,home workout,wellness,5,10,3,263,2,2,0,0,medium_intent
U143,S143,commuter bag,travel-everyday,6,5,5,182,0,2,0,0,medium_intent
U144,S144,starter skincare,beauty-care,2,4,1,155,0,0,0,0,low_intent
U145,S145,office setup,work-tech,9,10,5,388,1,3,0,1,high_intent
U146,S146,bedside diffuser,home-living,7,10,5,196,0,2,0,0,medium_intent
U147,S147,home cafe,kitchen-dining,4,10,4,210,2,2,0,0,medium_intent
U148,S148,home workout,wellness,3,5,2,53,1,0,0,0,low_intent
U149,S149,city trip bag,travel-everyday,2,2,2,137,0,0,0,0,low_intent
U150,S150,skin care,beauty-care,6,13,8,403,1,3,1,2,high_intent
U151,S151,laptop,work-tech,6,14,7,339,1,4,1,1,high_intent
U152,S152,throw blanket,home-living,4,5,5,294,2,1,0,0,medium_intent
U153,S153,morning brew,kitchen-dining,7,10,4,161,1,1,1,0,medium_intent
U154,S154,home workout,wellness,2,2,2,142,0,0,0,0,low_intent
U155,S155,travel bag,travel-everyday,8,10,8,346,2,4,1,1,high_intent
U156,S156,self care set,beauty-care,6,8,5,246,1,1,0,0,medium_intent
U157,S157,student device,work-tech,5,7,3,215,0,2,0,0,medium_intent
U158,S158,calm home,home-living,4,5,2,59,1,0,1,0,low_intent
U159,S159,meal prep,kitchen-dining,2,2,1,78,1,0,1,0,low_intent
U160,S160,hydration bottle,wellness,9,13,7,410,2,2,1,1,high_intent
U161,S161,overnight bag,travel-everyday,8,15,8,495,3,2,1,1,high_intent
U162,S162,travel mirror,beauty-care,7,5,3,219,0,1,0,0,medium_intent
U163,S163,desk lamp,work-tech,7,9,5,314,0,2,0,0,medium_intent
U164,S164,cozy room,home-living,2,5,2,66,0,0,1,0,low_intent
U165,S165,home cafe,kitchen-dining,9,14,5,449,1,2,1,2,high_intent
U166,S166,yoga mat,wellness,4,8,5,144,0,2,0,0,medium_intent
U167,S167,daily carry,travel-everyday,5,9,3,225,1,2,0,0,medium_intent
U168,S168,skin care,beauty-care,3,7,1,135,0,0,0,0,low_intent
U169,S169,desk lamp,work-tech,4,7,1,150,1,0,1,0,low_intent
U170,S170,bedside diffuser,home-living,9,12,7,522,2,3,1,1,high_intent
U171,S171,bamboo board,kitchen-dining,7,14,5,464,1,4,0,1,high_intent
U172,S172,home workout,wellness,5,10,3,236,1,2,0,0,medium_intent
U173,S173,city trip bag,travel-everyday,6,7,5,197,0,2,1,0,medium_intent
U174,S174,starter skincare,beauty-care,4,5,2,86,0,0,1,0,low_intent
U175,S175,student device,work-tech,9,10,8,539,1,3,0,2,high_intent
U176,S176,reading nook,home-living,6,7,5,299,2,1,1,0,medium_intent
U177,S177,kitchen prep,kitchen-dining,5,11,4,321,0,1,0,0,medium_intent
U178,S178,stretching routine,wellness,3,6,2,112,1,0,1,0,low_intent
U179,S179,city trip bag,travel-everyday,3,3,2,72,0,0,0,0,low_intent
U180,S180,gentle skincare,beauty-care,8,16,7,387,2,4,0,1,high_intent
U181,S181,coding laptop,work-tech,8,13,8,326,2,4,1,1,high_intent
U182,S182,diffuser,home-living,7,11,2,214,1,1,0,0,medium_intent
U183,S183,home cafe,kitchen-dining,6,5,3,294,0,2,1,0,medium_intent
U184,S184,stretching routine,wellness,3,3,2,41,0,0,0,0,low_intent
U185,S185,overnight bag,travel-everyday,8,10,8,379,2,4,0,1,high_intent
U186,S186,beauty routine,beauty-care,5,7,3,154,1,2,1,0,medium_intent
U187,S187,student device,work-tech,7,5,5,192,0,1,0,0,medium_intent
U188,S188,sofa decor,home-living,3,3,1,110,1,0,0,0,low_intent
U189,S189,morning brew,kitchen-dining,4,7,2,145,1,0,1,0,low_intent
U190,S190,home workout,wellness,7,16,6,449,1,4,1,1,high_intent
U191,S191,travel bag,travel-everyday,8,11,8,330,3,3,0,2,high_intent
U192,S192,starter skincare,beauty-care,7,5,4,198,0,2,0,0,medium_intent
U193,S193,study laptop,work-tech,4,7,3,149,1,1,0,0,medium_intent
U194,S194,throw blanket,home-living,4,4,1,109,1,0,1,0,low_intent
U195,S195,cutting board,kitchen-dining,7,15,8,544,2,2,0,2,high_intent
U196,S196,stretching routine,wellness,7,11,4,148,1,2,0,0,medium_intent
U197,S197,daily carry,travel-everyday,4,6,5,329,0,1,0,0,medium_intent
U198,S198,self care set,beauty-care,2,2,2,160,0,0,0,0,low_intent
U199,S199,coding laptop,work-tech,3,4,1,83,0,0,1,0,low_intent
U200,S200,cozy room,home-living,9,14,5,553,3,2,1,1,high_intent
U201,S201,morning brew,kitchen-dining,7,13,5,384,1,2,0,1,high_intent
U202,S202,yoga mat,wellness,7,9,4,310,2,2,1,0,medium_intent
U203,S203,city trip bag,travel-everyday,7,9,5,297,2,2,0,0,medium_intent
U204,S204,starter skincare,beauty-care,4,4,2,150,0,0,0,0,low_intent
U205,S205,desk lamp,work-tech,8,11,8,468,3,2,0,1,high_intent
U206,S206,calm home,home-living,7,9,5,174,2,1,1,0,medium_intent
U207,S207,morning brew,kitchen-dining,6,5,5,170,2,1,1,0,medium_intent
U208,S208,hydration bottle,wellness,3,4,2,73,1,0,1,0,low_intent
U209,S209,daily carry,travel-everyday,4,6,1,88,1,0,0,0,low_intent
U210,S210,skin care,beauty-care,9,15,5,332,1,2,0,2,high_intent
U211,S211,portable workstation,work-tech,6,12,7,315,2,4,1,2,high_intent
U212,S212,cozy room,home-living,7,8,4,141,1,1,1,0,medium_intent
U213,S213,home cafe,kitchen-dining,4,11,5,158,0,2,1,0,medium_intent
U214,S214,home workout,wellness,2,2,2,98,0,0,1,0,low_intent
U215,S215,travel bag,travel-everyday,8,9,7,417,3,3,1,2,high_intent
U216,S216,starter skincare,beauty-care,5,5,5,329,2,2,0,0,medium_intent
U217,S217,student device,work-tech,5,9,3,320,1,1,1,0,medium_intent
U218,S218,diffuser,home-living,4,4,1,100,0,0,0,0,low_intent
U219,S219,morning brew,kitchen-dining,3,2,1,91,1,0,1,0,low_intent
U220,S220,yoga mat,wellness,7,11,7,507,3,2,0,2,high_intent
U221,S221,daily carry,travel-everyday,9,9,5,337,1,4,1,1,high_intent
U222,S222,skin care,beauty-care,5,6,5,229,0,1,1,0,medium_intent
U223,S223,laptop,work-tech,4,11,3,328,0,2,0,0,medium_intent
U224,S224,reading nook,home-living,3,3,2,153,0,0,1,0,low_intent
U225,S225,kitchen prep,kitchen-dining,6,12,8,436,1,4,1,2,high_intent
U226,S226,hydration bottle,wellness,7,5,3,177,0,1,1,0,medium_intent
U227,S227,commuter bag,travel-everyday,5,5,3,205,2,1,0,0,medium_intent
U228,S228,skin care,beauty-care,4,3,2,78,0,0,1,0,low_intent
U229,S229,coding laptop,work-tech,4,5,2,92,0,0,1,0,low_intent
U230,S230,sofa decor,home-living,8,16,8,332,1,4,1,2,high_intent
U231,S231,morning brew,kitchen-dining,9,12,8,341,1,2,0,1,high_intent
U232,S232,hydration bottle,wellness,7,11,5,311,0,2,1,0,medium_intent
U233,S233,daily carry,travel-everyday,7,9,3,185,2,2,1,0,medium_intent
U234,S234,portable mirror,beauty-care,2,4,2,93,0,0,1,0,low_intent
U235,S235,office setup,work-tech,9,16,6,431,1,4,1,2,high_intent
U236,S236,bedside diffuser,home-living,7,9,5,201,0,2,0,0,medium_intent
U237,S237,morning brew,kitchen-dining,6,8,4,249,2,1,1,0,medium_intent
U238,S238,yoga mat,wellness,4,4,2,91,0,0,0,0,low_intent
U239,S239,travel bag,travel-everyday,4,6,2,47,1,0,1,0,low_intent
U240,S240,skin care,beauty-care,9,16,7,341,2,4,0,1,high_intent
U241,S241,study laptop,work-tech,9,13,6,552,2,4,0,1,high_intent
U242,S242,reading nook,home-living,7,6,4,162,1,1,1,0,medium_intent
U243,S243,meal prep,kitchen-dining,4,10,5,167,0,2,1,0,medium_intent
U244,S244,fitness gear,wellness,4,4,1,87,0,0,0,0,low_intent
U245,S245,commuter bag,travel-everyday,6,15,6,396,1,3,1,1,high_intent
U246,S246,beauty routine,beauty-care,7,9,4,305,2,2,1,0,medium_intent
U247,S247,study laptop,work-tech,6,6,5,195,2,1,0,0,medium_intent
U248,S248,reading nook,home-living,4,3,1,121,1,0,1,0,low_intent
U249,S249,meal prep,kitchen-dining,3,2,2,133,0,0,0,0,low_intent
U250,S250,hydration bottle,wellness,9,12,6,393,2,2,0,2,high_intent
U251,S251,overnight bag,travel-everyday,6,12,8,366,1,4,1,2,high_intent
U252,S252,starter skincare,beauty-care,6,5,3,271,1,1,0,0,medium_intent
U253,S253,laptop,work-tech,7,7,4,144,1,1,0,0,medium_intent
U254,S254,sofa decor,home-living,2,7,2,46,0,0,0,0,low_intent
U255,S255,coffee press,kitchen-dining,6,10,8,411,2,2,0,1,high_intent
U256,S256,daily wellness,wellness,6,9,4,231,1,1,1,0,medium_intent
U257,S257,commuter bag,travel-everyday,4,11,5,247,2,1,0,0,medium_intent
U258,S258,beauty routine,beauty-care,2,6,1,58,1,0,0,0,low_intent
U259,S259,desk lamp,work-tech,4,6,2,127,0,0,0,0,low_intent
U260,S260,throw blanket,home-living,8,13,6,392,3,4,0,2,high_intent
U261,S261,cutting board,kitchen-dining,7,15,8,352,3,3,0,2,high_intent
U262,S262,water bottle,wellness,6,8,3,247,0,2,0,0,medium_intent
U263,S263,travel bag,travel-everyday,4,6,5,148,1,2,0,0,medium_intent
U264,S264,self care set,beauty-care,3,5,2,157,1,0,1,0,low_intent
U265,S265,coding laptop,work-tech,8,15,7,558,3,4,0,1,high_intent
U266,S266,reading nook,home-living,6,6,5,296,0,2,0,0,medium_intent
U267,S267,home cafe,kitchen-dining,7,10,5,302,0,1,0,0,medium_intent
U268,S268,daily wellness,wellness,4,5,2,115,1,0,1,0,low_intent
U269,S269,daily carry,travel-everyday,3,4,1,49,0,0,0,0,low_intent
U270,S270,starter skincare,beauty-care,8,10,8,491,2,3,1,1,high_intent
U271,S271,student device,work-tech,9,16,8,341,1,3,1,2,high_intent
U272,S272,diffuser,home-living,3,7,3,243,0,1,1,0,medium_intent
U273,S273,morning brew,kitchen-dining,7,10,4,236,2,1,1,0,medium_intent
U274,S274,hydration bottle,wellness,2,7,1,61,0,0,0,0,low_intent
U275,S275,overnight bag,travel-everyday,6,14,6,350,3,4,0,2,high_intent
U276,S276,starter skincare,beauty-care,7,8,3,277,1,2,1,0,medium_intent
U277,S277,coding laptop,work-tech,7,6,5,280,1,2,1,0,medium_intent
U278,S278,sofa decor,home-living,4,4,2,119,1,0,1,0,low_intent
U279,S279,coffee press,kitchen-dining,2,7,2,140,0,0,1,0,low_intent
U280,S280,water bottle,wellness,9,15,5,418,1,3,1,1,high_intent
U281,S281,city trip bag,travel-everyday,9,13,8,525,3,2,0,2,high_intent
U282,S282,starter skincare,beauty-care,4,7,5,329,1,1,1,0,medium_intent
U283,S283,study laptop,work-tech,5,11,5,160,0,1,1,0,medium_intent
U284,S284,throw blanket,home-living,4,3,2,108,0,0,0,0,low_intent
U285,S285,coffee press,kitchen-dining,8,12,6,361,1,3,1,1,high_intent
U286,S286,home workout,wellness,4,10,3,177,2,1,0,0,medium_intent
U287,S287,commuter bag,travel-everyday,7,8,3,208,1,1,0,0,medium_intent
U288,S288,skin care,beauty-care,4,6,2,64,1,0,0,0,low_intent
U289,S289,coding laptop,work-tech,3,4,2,136,1,0,1,0,low_intent
U290,S290,cozy room,home-living,6,13,5,474,3,3,1,2,high_intent
U291,S291,morning brew,kitchen-dining,7,16,8,515,1,3,0,2,high_intent
U292,S292,home workout,wellness,7,5,3,241,0,1,0,0,medium_intent
U293,S293,overnight bag,travel-everyday,7,5,3,195,0,2,0,0,medium_intent
U294,S294,portable mirror,beauty-care,2,4,2,148,0,0,0,0,low_intent
U295,S295,portable workstation,work-tech,6,11,5,311,1,3,0,2,high_intent
U296,S296,throw blanket,home-living,6,11,5,140,0,1,1,0,medium_intent
U297,S297,coffee press,kitchen-dining,7,7,5,204,0,1,1,0,medium_intent
U298,S298,home workout,wellness,4,6,2,87,1,0,0,0,low_intent
U299,S299,daily carry,travel-everyday,4,6,2,131,0,0,1,0,low_intent
U300,S300,travel mirror,beauty-care,8,13,8,510,3,3,1,2,high_intent
U301,S301,study laptop,work-tech,7,16,6,324,2,3,1,1,high_intent
U302,S302,sofa decor,home-living,6,8,5,248,0,1,0,0,medium_intent
U303,S303,kitchen prep,kitchen-dining,5,6,4,167,0,2,0,0,medium_intent
U304,S304,fitness gear,wellness,4,2,2,50,1,0,1,0,low_intent
U305,S305,daily carry,travel-everyday,6,10,6,526,1,3,1,1,high_intent
U306,S306,starter skincare,beauty-care,6,5,4,291,2,1,1,0,medium_intent
U307,S307,laptop,work-tech,3,6,4,326,0,2,1,0,medium_intent
U308,S308,throw blanket,home-living,4,2,2,114,0,0,0,0,low_intent
U309,S309,cutting board,kitchen-dining,4,2,1,106,0,0,1,0,low_intent
U310,S310,daily wellness,wellness,9,10,5,450,1,3,0,1,high_intent
U311,S311,travel bag,travel-everyday,6,9,7,557,3,4,1,2,high_intent
U312,S312,self care set,beauty-care,4,10,5,315,1,1,1,0,medium_intent
U313,S313,laptop,work-tech,6,9,4,243,2,1,0,0,medium_intent
U314,S314,cozy room,home-living,3,2,2,107,1,0,0,0,low_intent
U315,S315,coffee press,kitchen-dining,8,11,6,333,3,3,1,2,high_intent
U316,S316,water bottle,wellness,4,10,4,235,0,1,1,0,medium_intent
U317,S317,city trip bag,travel-everyday,7,9,4,289,1,2,1,0,medium_intent
U318,S318,starter skincare,beauty-care,3,7,2,141,0,0,1,0,low_intent
U319,S319,study laptop,work-tech,3,6,2,135,0,0,0,0,low_intent
U320,S320,cozy room,home-living,9,11,8,321,2,2,0,2,high_intent
U321,S321,cutting board,kitchen-dining,6,13,8,360,1,4,0,1,high_intent
U322,S322,home workout,wellness,4,7,3,316,1,1,0,0,medium_intent
U323,S323,tote bag,travel-everyday,6,8,5,268,0,2,1,0,medium_intent
U324,S324,self care set,beauty-care,4,5,2,157,0,0,0,0,low_intent
U325,S325,student device,work-tech,8,13,8,485,1,4,1,2,high_intent
U326,S326,reading nook,home-living,4,6,3,217,0,1,1,0,medium_intent
U327,S327,cutting board,kitchen-dining,6,5,5,196,1,2,0,0,medium_intent
U328,S328,daily wellness,wellness,3,7,2,107,0,0,0,0,low_intent
U329,S329,travel bag,travel-everyday,4,4,2,151,0,0,0,0,low_intent
U330,S330,beauty routine,beauty-care,8,14,6,402,1,3,1,2,high_intent
U331,S331,student device,work-tech,8,15,5,313,1,2,1,2,high_intent
U332,S332,diffuser,home-living,4,8,3,203,1,1,1,0,medium_intent
U333,S333,meal prep,kitchen-dining,5,5,4,248,1,1,1,0,medium_intent
U334,S334,daily wellness,wellness,2,2,2,57,1,0,1,0,low_intent
U335,S335,city trip bag,travel-everyday,8,10,5,428,2,3,0,1,high_intent
U336,S336,self care set,beauty-care,7,10,5,296,1,1,1,0,medium_intent
U337,S337,laptop,work-tech,7,9,2,312,1,1,1,0,medium_intent
U338,S338,sofa decor,home-living,3,4,2,54,0,0,1,0,low_intent
U339,S339,home cafe,kitchen-dining,2,4,2,128,0,0,1,0,low_intent
U340,S340,water bottle,wellness,9,13,6,477,3,4,0,2,high_intent
U341,S341,commuter bag,travel-everyday,6,9,7,508,2,3,1,1,high_intent
U342,S342,portable mirror,beauty-care,4,5,4,287,1,1,0,0,medium_intent
U343,S343,laptop,work-tech,6,7,3,308,1,1,1,0,medium_intent
U344,S344,bedside diffuser,home-living,2,6,2,116,0,0,1,0,low_intent
U345,S345,home cafe,kitchen-dining,9,10,8,516,2,3,1,1,high_intent
U346,S346,fitness gear,wellness,7,5,3,300,2,1,0,0,medium_intent
U347,S347,commuter bag,travel-everyday,7,5,5,289,1,2,0,0,medium_intent
U348,S348,skin care,beauty-care,2,2,1,134,1,0,0,0,low_intent
U349,S349,study laptop,work-tech,4,2,1,117,1,0,1,0,low_intent
U350,S350,calm home,home-living,9,10,8,483,2,2,0,1,high_intent
U351,S351,cutting board,kitchen-dining,9,12,6,401,1,4,1,2,high_intent
U352,S352,water bottle,wellness,7,7,4,212,1,2,0,0,medium_intent
U353,S353,weekender,travel-everyday,7,10,3,309,1,1,0,0,medium_intent
U354,S354,portable mirror,beauty-care,4,3,2,125,1,0,0,0,low_intent
U355,S355,laptop,work-tech,5,10,8,315,3,2,1,2,high_intent
U356,S356,diffuser,home-living,6,6,5,169,0,2,1,0,medium_intent
U357,S357,morning brew,kitchen-dining,7,6,5,311,1,1,1,0,medium_intent
U358,S358,home workout,wellness,4,7,2,142,1,0,0,0,low_intent
U359,S359,commuter bag,travel-everyday,4,4,1,108,0,0,1,0,low_intent
